"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"120","120","San Rafael City Elementary (Marin)","San Rafael City Elementary","San Rafael City Elementary School District","Marin","Elementary School District",4758,33633,6228235,"10981","55298241",66666947122,"11958","52558943","11365","Marin","Elementary School District","San Rafael","21-65458-0000000",4758,NA,NA,NA,NA,38.7,42.7,52558943,11365,55298241,11958,1572,1056,604,-0.430472169559666
"121","121","San Ramon Valley Unified (Contra Costa)","San Ramon Valley Unified","San Ramon Valley Unified School District","Contra Costa","Unified School District",32425,177370,6228235,"10099","331594667",66666947122,"10552","325307080","10352","Contra Costa","Unified School District","Danville","07-61804-0000000",32425,NA,NA,NA,NA,77.1,81.7,325307080,10352,331594667,10552,1071,1474,202,-0.626573144579305
"122","122","Santa Clara Unified (Santa Clara)","Santa Clara Unified","Santa Clara Unified School District","Santa Clara","Unified School District",15409,273264,6228235,"14778","248575682",66666947122,"16969","221534104","15123","Santa Clara","Unified School District","Santa Clara","43-69674-0000000",15409,NA,NA,NA,NA,49.4,58.2,221534104,15123,248575682,16969,1921,1026,396,0.268433937000369
"123","123","Santa Rosa Elementary (Sonoma)","Santa Rosa Elementary","Santa Rosa Elementary School District","Sonoma","Elementary School District",5315,70940,6228235,"N/A","N/A",66666947122,"N/A","N/A","N/A","Sonoma","Elementary School District","Santa Rosa","49-70912-0000000",5315,NA,NA,NA,NA,26.9,33.3,NA,NA,NA,NA,NA,NA,NA,NA
"124","124","Saratoga Union Elementary (Santa Clara)","Saratoga Union Elementary","Saratoga Union Elementary School District","Santa Clara","Elementary School District",1906,273264,6228235,"16006","30306922",66666947122,"16202","30295138","16195","Santa Clara","Elementary School District","Saratoga","43-69682-0000000",1906,NA,NA,NA,NA,90.1,86.9,30295138,16195,30306922,16202,944,1021,243,0.161457089318959
"125","125","Sausalito Marin City (Marin)","Sausalito Marin City","Sausalito Marin City Elementary School District","Marin","Elementary School District",558,33633,6228235,"35519","5901093",66666947122,"40759","5889827","40681","Marin","Elementary School District","Sausalito","21-65474-0000000",558,NA,NA,NA,NA,15.6,30.8,5889827,40681,5901093,40759,5070,2424,2321,3.58652938203394
"126","126","Sebastopol Union Elementary (Sonoma)","Sebastopol Union Elementary","Sebastopol Union Elementary School District","Sonoma","Elementary School District",928,70940,6228235,"12644","7725185",66666947122,"15335","6500018","12903","Sonoma","Elementary School District","Sebastopol","49-70938-0000000",928,NA,NA,NA,NA,31.7,45.4,6500018,12903,7725185,15335,2988,1359,761,0.0405328038694378
"127","127","Shoreline Unified (Marin)","Shoreline Unified","Shoreline Unified School District","Marin","Unified School District",515,33633,6228235,"26501","14346366",66666947122,"29845","13102385","27257","Marin","Unified School District","Tomales","21-73361-0000000",515,NA,NA,NA,NA,39.9,50.8,13102385,27257,14346366,29845,3365,1575,4856,2.06430602402232
"128","128","Sonoma Valley Unified (Sonoma)","Sonoma Valley Unified","Sonoma Valley Unified School District","Sonoma","Unified School District",4564,70940,6228235,"13457","50405621",66666947122,"13076","52458078","13609","Sonoma","Unified School District","Sonoma","49-70953-0000000",4564,NA,NA,NA,NA,25.9,42.3,52458078,13609,50405621,13076,1609,1342,552,-0.274539815312187
"129","129","South San Francisco Unified (San Mateo)","South San Francisco Unified","South San Francisco Unified School District","San Mateo","Unified School District",8879,95620,6228235,"11027","102220687",66666947122,"12091","99015593","11712","San Mateo","Unified School District","South San Francisco","41-69070-0000000",8879,NA,NA,NA,NA,43.9,49.1,99015593,11712,102220687,12091,396,911,517,-0.411922077328079
"130","130","Sunnyvale (Santa Clara)","Sunnyvale","Sunnyvale Elementary School District","Santa Clara","Elementary School District",6536,273264,6228235,"12907","82025827",66666947122,"13129","81601714","13061","Santa Clara","Elementary School District","Sunnyvale","43-69690-0000000",6536,NA,NA,NA,NA,54.2,57.2,81601714,13061,82025827,13129,1234,981,367,-0.267147673295088
"131","131","Sunol Glen Unified (Alameda)","Sunol Glen Unified","Sunol Glen Unified School District","Alameda","Unified School District",278,226904,6228235,"11555","3154599",66666947122,"11952","3135320","11879","Alameda","Unified School District","Sunol","01-75119-0000000",278,NA,NA,NA,NA,78.4,74.9,3135320,11879,3154599,11952,2163,903,172,-0.431309015825753
"132","132","Travis Unified (Solano)","Travis Unified","Travis Unified School District","Solano","Unified School District",5564,63643,6228235,"9862","55851584",66666947122,"10423","54853586","10237","Solano","Unified School District","Fairfield","48-70565-0000000",5564,NA,NA,NA,NA,41.1,56.5,54853586,10237,55851584,10423,375,931,854,-0.644565339300168
"133","133","Twin Hills Union Elementary (Sonoma)","Twin Hills Union Elementary","Twin Hills Union Elementary School District","Sonoma","Elementary School District",1252,70940,6228235,"10272","7621349",66666947122,"10797","7341196","10400","Sonoma","Elementary School District","Sebastopol","49-70961-0000000",1252,NA,NA,NA,NA,50.3,64,7341196,10400,7621349,10797,872,812,349,-0.592401922047433
"134","134","Two Rock Union (Sonoma)","Two Rock Union","Two Rock Union Elementary School District","Sonoma","Elementary School District",166,70940,6228235,"12936","2377610",66666947122,"15327","2318432","14945","Sonoma","Elementary School District","Petaluma","49-70979-0000000",166,NA,NA,NA,NA,61,53,2318432,14945,2377610,15327,2414,1342,3556,0.0394170088479889
"135","135","Union Elementary (Santa Clara)","Union Elementary","Union Elementary School District","Santa Clara","Elementary School District",5751,273264,6228235,"10407","51630205",66666947122,"9206","58946372","10510","Santa Clara","Elementary School District","San Jose","43-69708-0000000",5751,NA,NA,NA,NA,75.7,77.9,58946372,10510,51630205,9206,434,760,265,-0.814305656938077
